Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
108320,KR7108320003,LX세미콘,KOSPI,,53400,1,1100,2.1,53000,53800,52600,68029,3615904500,863634330000,16264300,STK
093370,KR7093370005,후성,KOSPI,,8000,1,60,0.76,8010,8100,7900,864462,6922193420,860187746600,107255330,STK
166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,43550,2,-100,-0.23,44050,44050,43100,127541,5548435100,857362167900,19777674,KSQ
086450,KR7086450004,동국제약,KOSDAQ GLOBAL,우량기업부,18920,1,60,0.32,18950,19100,18680,266984,5047665350,853498025400,45230420,KSQ
056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,23750,2,-150,-0.63,24300,24300,23450,92534,2195554300,852833050000,35908760,KSQ
009450,KR7009450008,경동나비엔,KOSPI,,58600,1,500,0.86,58600,58800,58000,20194,1180948950,850805772800,14568592,STK
100840,KR7100840008,SNT에너지,KOSPI,,40600,1,400,1.0,40850,42400,40600,130233,5394650600,843775946400,20680783,STK
000210,KR7000210005,DL,KOSPI,,40150,1,1250,3.21,39250,41150,38950,171217,6869735650,839283154200,20955884,STK
131970,KR7131970006,두산테스나,KOSDAQ GLOBAL,우량기업부,43350,1,350,0.81,43600,43800,42550,124011,5354040150,836869405400,19327238,KSQ
218410,KR7218410009,RFHIC,KOSDAQ,우량기업부,31150,2,-650,-2.04,32050,32350,30700,260322,8125369875,825582218300,26503442,KSQ
225570,KR7225570001,넥슨게임즈,KOSDAQ,우량기업부,12540,2,-100,-0.79,12650,12690,12410,174345,2185729345,825227980220,65860174,KSQ
381970,KR7381970003,케이카,KOSPI,,16700,1,10,0.06,16750,16780,16440,98200,1631516265,817260995520,48820848,STK
248070,KR7248070005,솔루엠,KOSPI,,17090,2,-50,-0.29,17220,17220,16930,84977,1447464040,815984067340,47816236,STK
019170,KR7019170000,신풍제약,KOSPI,,15340,1,590,4.0,14850,15680,14850,1270949,19516773335,810140497100,52984990,STK
007700,KR7007700008,F&F홀딩스,KOSPI,,20650,1,820,4.14,19780,20950,19780,36280,744359680,807711678550,39114367,STK
000640,KR7000640003,동아쏘시오홀딩스,KOSPI,,122400,2,-200,-0.16,122600,125000,121500,16415,2019677400,805288668800,6536434,STK
067160,KR7067160002,SOOP,KOSDAQ GLOBAL,우량기업부,70100,3,0,0.0,70300,70700,69800,82314,5773970650,803484213300,11494767,KSQ
417200,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,11900,2,-80,-0.67,12030,12120,11750,350145,4164300075,803037062330,67652659,KSQ
476060,KR7476060009,온코닉테라퓨틱스,KOSDAQ,기술성장기업부,18000,1,1630,9.96,16650,18290,16510,6508319,115619483765,801707385320,44489866,KSQ
069260,KR7069260008,TKG휴켐스,KOSPI,,19450,3,0,0.0,19590,19600,19200,250481,4879213185,795906108360,40878588,STK
014820,KR7014820005,동원시스템즈,KOSPI,,27650,1,600,2.22,27300,27650,26800,29553,805937175,794361126800,28991282,STK
003850,KR7003850005,보령,KOSPI,,9190,1,10,0.11,9250,9420,9160,230427,2136687060,792673792680,85787207,STK
032190,KR7032190001,다우데이타,KOSDAQ,우량기업부,20400,1,450,2.26,20400,21150,20150,275547,5691318050,787065000000,38300000,KSQ
002030,KR7002030005,아세아,KOSPI,,374000,1,2500,0.67,371500,388000,366000,25934,9731304500,782423865000,2072646,STK
042000,KR7042000000,카페24,KOSDAQ,기술성장기업부,32250,2,-900,-2.71,33200,33400,32150,121517,3936572475,782160991500,24253054,KSQ
005250,KR7005250006,녹십자홀딩스,KOSPI,,16630,1,570,3.55,16200,17000,16140,272906,4572792125,781608850200,47028210,STK
211050,KR7211050000,인카금융서비스,KOSDAQ,우량기업부,15030,2,-520,-3.34,15510,15670,15000,850143,12853816000,779945364000,51379800,KSQ
950210,KR8702070002,프레스티지바이오파마,KOSPI,,12910,1,90,0.7,12940,13100,12690,96409,1238615985,778245207250,60096155,STK
281820,KR7281820001,케이씨텍,KOSPI,,37050,2,-1250,-3.26,38650,38650,37000,153810,5752162675,773818080200,20690323,STK
033500,KR7033500000,동성화인텍,KOSDAQ,우량기업부,25650,3,0,0.0,25750,26200,25500,143653,3692142375,770729995800,29989494,KSQ
002350,KR7002350007,넥센타이어,KOSPI,,7890,1,140,1.81,7750,7960,7750,121049,953680480,770599549530,97667877,STK
376300,KR7376300000,디어유,KOSDAQ,우량기업부,32400,2,-350,-1.07,32950,33100,32100,137830,4464622925,767937434100,23738406,KSQ
095610,KR7095610002,테스,KOSDAQ,우량기업부,38550,2,-750,-1.91,39500,39550,38450,140392,5443932400,766018757500,19768226,KSQ
220100,KR7220100002,퓨쳐켐,KOSDAQ,기술성장기업부,34200,1,1500,4.59,33250,35050,31950,1695070,57334996600,764978850800,22400552,KSQ
174900,KR7174900001,앱클론,KOSDAQ,관리종목(소속부없음),39700,1,50,0.13,41000,42100,39050,306552,12446128925,759899370200,19092949,KSQ
090360,KR7090360009,로보스타,KOSDAQ,중견기업부,77800,1,1100,1.43,77600,80900,76700,592198,46613540400,758550000000,9750000,KSQ
214320,KR7214320004,이노션,KOSPI,,18840,1,70,0.37,18750,18980,18750,116304,2197614285,755200000000,40000000,STK
475960,KR7475960001,토모큐브,KOSDAQ,기술성장기업부,56300,2,-1600,-2.76,57900,59200,55900,379597,21720199700,748683698800,13321774,KSQ
039130,KR7039130000,하나투어,KOSPI,,48750,1,100,0.21,48800,49000,47850,371129,18047407200,748163715600,15489932,STK
071055,KR7071051007,한국금융지주우,KOSPI,,127400,2,-800,-0.62,128500,129000,126600,24924,3177903400,746341177400,5858251,STK
008730,KR7008730004,율촌화학,KOSPI,,30050,2,-500,-1.64,30850,30850,30050,58684,1777326925,745240000000,24800000,STK
451800,KR7451800007,한화리츠,KOSPI,,4160,2,-80,-1.89,4240,4260,4105,683111,2831939966,743544000000,179600000,STK
00088K,KR700088K015,한화3우B,KOSPI,,38150,2,-300,-0.78,38150,38650,37500,33092,1264344125,740279424150,19404441,STK
348210,KR7348210006,넥스틴,KOSDAQ GLOBAL,우량기업부,71100,1,1600,2.3,69700,72200,66600,154326,10933773900,738628852500,10477005,KSQ
003470,KR7003470002,유안타증권,KOSPI,,3680,3,0,0.0,3700,3740,3675,290747,1076455981,738507331200,199596576,STK
084110,KR7084110006,휴온스글로벌,KOSDAQ,중견기업부,57800,1,300,0.52,58300,60300,56500,45275,2633346800,730471152400,12659812,KSQ
121600,KR7121600001,나노신소재,KOSDAQ,우량기업부,59500,2,-800,-1.33,61500,61500,58600,84636,5044897250,730229221800,12211191,KSQ
241710,KR7241710003,코스메카코리아,KOSDAQ,우량기업부,68000,2,-2100,-3.0,70100,70900,67900,82803,5660692750,729444000000,10680000,KSQ
001680,KR7001680008,대상,KOSPI,,20900,3,0,0.0,21000,21100,20750,191747,4014940975,726742324375,34648025,STK
