symbol,regime,net_expectancy,trades,win_rate,cost_avg
030200,PANIC,-0.0015376068741207447,19,0.5789473684210527,0.0027999999999999995
454910,TREND_DOWN,-0.0048703933747412005,1,0.0,0.0028
454910,CHOP_HIGHVOL,-0.0024179813379715193,27,0.2222222222222222,0.0027999999999999995
454910,CHOP_LOWVOL,-0.0027380168730292017,1342,0.23248882265275708,0.0028
454910,PANIC,-0.0021991961549746057,14,0.2857142857142857,0.0027999999999999995
214450,CHOP_HIGHVOL,-0.00011089628330833348,83,0.3614457831325301,0.0028
214450,CHOP_LOWVOL,-0.0026830149977021575,1199,0.2819015846538782,0.0028
214450,PANIC,0.00326317700805973,29,0.4482758620689655,0.0027999999999999995
079550,TREND_UP,0.018435521235521234,1,1.0,0.0028
079550,CHOP_HIGHVOL,0.0024768525604877195,53,0.3584905660377358,0.0027999999999999995
079550,CHOP_LOWVOL,-0.002343769919163473,1284,0.27414330218068533,0.0028
079550,PANIC,-0.009524223884347888,19,0.10526315789473684,0.0027999999999999995
062040,TREND_UP,0.01082781954887218,2,0.5,0.0028
062040,CHOP_HIGHVOL,-0.006359175910716382,62,0.20967741935483872,0.0027999999999999995
062040,CHOP_LOWVOL,-0.002652830369841788,1188,0.26936026936026936,0.0028
062040,PANIC,-0.005789557269595223,26,0.3076923076923077,0.0027999999999999995
086790,CHOP_HIGHVOL,0.008089292196007259,1,1.0,0.0028
086790,CHOP_LOWVOL,-0.0028231830528450096,1583,0.27605811749842074,0.0027999999999999995
086790,PANIC,-0.005295967732719219,20,0.3,0.0027999999999999995
034020,TREND_UP,-0.028143404869290383,2,0.0,0.0028
034020,TREND_DOWN,-0.0028,1,0.0,0.0028
034020,CHOP_HIGHVOL,-0.002339485999440247,57,0.3508771929824561,0.0028
034020,CHOP_LOWVOL,-0.002248429727296712,1227,0.29095354523227385,0.0028
034020,PANIC,0.0015348660923254144,16,0.5625,0.0028
214150,TREND_UP,-0.05109354242672371,2,0.0,0.0028
214150,CHOP_HIGHVOL,-0.004343331378202087,41,0.21951219512195122,0.0028
214150,CHOP_LOWVOL,-0.0028590950382164394,1427,0.2543798177995795,0.0027999999999999995
214150,PANIC,-0.0036548389252750437,29,0.3448275862068966,0.0027999999999999995
047810,TREND_DOWN,0.0031031877213695395,1,1.0,0.0028
047810,CHOP_HIGHVOL,-0.0003652773443575583,23,0.5217391304347826,0.0027999999999999995
047810,CHOP_LOWVOL,-0.0028334792161281144,1304,0.2645705521472393,0.0028
047810,PANIC,-0.0020405369494831426,30,0.4666666666666667,0.002799999999999999
000250,TREND_UP,-0.01747645096731154,1,0.0,0.0028
000250,CHOP_HIGHVOL,-0.0025509976675867413,52,0.3076923076923077,0.0027999999999999995
000250,CHOP_LOWVOL,-0.0019161346035473396,1065,0.27605633802816903,0.0027999999999999995
000250,PANIC,0.0016332222050195262,32,0.5,0.0028
051900,TREND_UP,0.04796923076923077,1,1.0,0.0028
051900,CHOP_LOWVOL,-0.0030677559649882717,1777,0.22397298818232977,0.0027999999999999995
051900,PANIC,-0.0027609963609039477,21,0.3333333333333333,0.002799999999999999
001440,TREND_UP,-0.01786643996304562,6,0.3333333333333333,0.0028
001440,CHOP_HIGHVOL,-0.0016241011404224798,44,0.29545454545454547,0.0028
001440,CHOP_LOWVOL,-0.002543852867164792,1122,0.26024955436720143,0.0028000000000000004
001440,PANIC,-0.003976930066222635,28,0.2857142857142857,0.0027999999999999995
012450,TREND_UP,-0.02073473836190689,3,0.0,0.0028
012450,TREND_DOWN,0.031015263802557324,1,1.0,0.0028
012450,CHOP_HIGHVOL,0.0007755019464568713,33,0.45454545454545453,0.0028
012450,CHOP_LOWVOL,-0.002228438459540172,1179,0.3104325699745547,0.0027999999999999995
012450,PANIC,0.0038933795919380873,31,0.5483870967741935,0.002799999999999999
