date,equity,regime
2025-07-10,188357980.85180047,COOLDOWN
2025-07-11,187634017.58764353,COOLDOWN
2025-07-14,187995033.28280693,TURBO(Vol:1.1)
2025-07-15,186858837.74986365,TURBO(Vol:1.1)
2025-07-16,183347667.89928585,TURBO(Vol:1.1)
2025-07-17,180682319.58607045,TURBO(Vol:1.1)
2025-07-18,176645506.03578505,COOLDOWN
2025-07-21,170273766.9666619,COOLDOWN
2025-07-22,170307847.98712286,TURBO(Vol:1.3)
2025-07-23,170326951.50529373,TURBO(Vol:1.3)
2025-07-24,161998668.6011671,COOLDOWN
2025-07-25,161240735.32179493,COOLDOWN
2025-07-28,159397802.65997016,TURBO(Vol:1.4)
2025-07-29,161215964.05732802,TURBO(Vol:1.4)
2025-07-30,159896019.7184389,TURBO(Vol:1.4)
2025-07-31,160769341.57424352,TURBO(Vol:1.4)
2025-08-01,146381315.70860234,COOLDOWN
2025-08-04,146507206.04374585,COOLDOWN
2025-08-05,146938205.61123782,TURBO(Vol:1.1)
2025-08-06,149759642.34085146,COOLDOWN
2025-08-07,149421611.38598382,COOLDOWN
2025-08-08,149904569.12012124,TURBO(Vol:1.1)
2025-08-11,149068776.54756227,COOLDOWN
2025-08-12,149348989.50852123,COOLDOWN
2025-08-13,147213425.37921172,TURBO(Vol:1.1)
2025-08-14,149410643.85973445,COOLDOWN
2025-08-18,148004662.2617577,COOLDOWN
2025-08-19,146913417.91545123,BASE
2025-08-20,146619275.72861627,BASE
2025-08-21,147230497.0346326,BASE
2025-08-22,147242509.9735214,BASE
2025-08-25,149386634.90339723,TURBO(Vol:1.0)
2025-08-26,148305348.15978202,COOLDOWN
2025-08-27,147865281.33501324,COOLDOWN
2025-08-28,150408681.13448706,TURBO(Vol:1.0)
2025-08-29,151399856.53558573,COOLDOWN
2025-09-01,151510882.6841607,COOLDOWN
2025-09-02,149495243.3168974,BASE
2025-09-03,152110406.9746026,BASE
2025-09-04,155681837.03549823,TURBO(Vol:1.5)
2025-09-05,156494529.9338421,TURBO(Vol:1.5)
2025-09-08,158606185.88119847,TURBO(Vol:1.5)
2025-09-09,162085140.26839367,TURBO(Vol:1.5)
2025-09-10,180926310.69293192,COOLDOWN
2025-09-11,179676846.1473721,COOLDOWN
2025-09-12,175469754.37222105,TURBO(Vol:1.3)
2025-09-15,194945039.77182338,COOLDOWN
2025-09-16,187399903.38792938,COOLDOWN
2025-09-17,184808053.73198134,TURBO(Vol:1.5)
2025-09-18,179743320.6045569,COOLDOWN
2025-09-19,186406313.50328493,COOLDOWN
2025-09-22,187434427.3527369,TURBO(Vol:1.4)
2025-09-23,194563363.4589692,TURBO(Vol:1.5)
2025-09-24,194764307.45831764,TURBO(Vol:1.5)
2025-09-25,190199319.89930275,TURBO(Vol:1.5)
2025-09-26,169710974.57875407,COOLDOWN
2025-09-29,173842372.168641,COOLDOWN
2025-09-30,174868442.48939472,TURBO(Vol:1.3)
2025-10-01,197201844.65716586,COOLDOWN
2025-10-02,197304765.3269327,COOLDOWN
2025-10-10,219582109.87021223,TURBO(Vol:1.1)
2025-10-13,233929060.28328526,COOLDOWN
2025-10-14,225084963.24057606,COOLDOWN
2025-10-15,230542211.75273836,TURBO(Vol:1.0)
2025-10-16,223680608.67331263,COOLDOWN
2025-10-17,222227441.27225798,COOLDOWN
2025-10-20,229668314.24850908,TURBO(Vol:0.9)
2025-10-21,230478177.96845257,TURBO(Vol:0.9)
2025-10-22,228481709.46664348,TURBO(Vol:1.0)
2025-10-23,233463687.62125516,TURBO(Vol:0.9)
2025-10-24,253415817.32978603,COOLDOWN
2025-10-27,267744093.1305643,COOLDOWN
2025-10-28,266599788.669205,TURBO(Vol:0.8)
2025-10-29,282891419.2216984,TURBO(Vol:0.8)
2025-10-30,278648525.4856264,TURBO(Vol:0.8)
2025-10-31,274297997.5604624,TURBO(Vol:1.0)
2025-11-03,302878789.2450361,COOLDOWN
2025-11-04,299961588.2089479,COOLDOWN
2025-11-05,292217498.8706297,TURBO(Vol:0.7)
2025-11-06,256384333.3532269,COOLDOWN
2025-11-07,255129924.50667378,COOLDOWN
2025-11-10,252295066.65849388,TURBO(Vol:0.7)
2025-11-11,256820720.1672872,TURBO(Vol:0.7)
2025-11-12,266310098.6854361,TURBO(Vol:0.7)
2025-11-13,264175710.85114837,TURBO(Vol:0.7)
2025-11-14,268967915.62947375,BASE
2025-11-17,263089418.99632016,TURBO(Vol:0.6)
2025-11-18,243047066.4107904,COOLDOWN
2025-11-19,242399450.27149606,COOLDOWN
2025-11-20,257956133.49227917,BASE
2025-11-21,260015542.0054579,BASE
2025-11-24,251828757.46930653,BASE
2025-11-25,270331980.02679694,BASE
2025-11-26,295102107.5501922,BASE
2025-11-27,286212432.2546343,BASE
2025-11-28,293396014.3479101,BASE
2025-12-01,299409300.70049113,BASE
2025-12-02,320494320.2967255,TURBO(Vol:0.6)
2025-12-03,306965809.51483715,COOLDOWN
2025-12-04,320258030.0696237,COOLDOWN
2025-12-05,309414108.47060513,TURBO(Vol:0.6)
2025-12-08,293680348.41377056,COOLDOWN
2025-12-09,294218189.39736617,COOLDOWN
2025-12-10,299268429.7279627,TURBO(Vol:0.7)
2025-12-11,319212715.09436166,TURBO(Vol:0.7)
2025-12-12,322745290.5531657,TURBO(Vol:0.8)
